#Table1
apogee_id,apstar_id,ra,dec,nvisits,starSNR,vscatter,verr,visit_id,vhelio,vrelerr,visitSNR,starflag,mjd
2M00023036+8524194,apogee.apo25m.stars.N188.2M00023036+8524194,0.626517,85.405411,15,511.5603,53.33531,0.1302661,apogee.apo25m.dr17.9264.57672.224,53.34783,0.1047212,119.476,10485764,57672
2M00023036+8524194,apogee.apo25m.stars.N188.2M00023036+8524194,0.626517,85.405411,15,511.5603,53.33531,0.1302661,apogee.apo25m.dr17.7950.58060.224,62.00765,0.1129634,110.702,10485760,58060
2M00023036+8524194,apogee.apo25m.stars.N188-RV.2M00023036+8524194,0.626517,85.405411,13,475.8425,42.22197,0.1344381,apogee.apo25m.dr17.5095.55840.230,66.5254,0.0977427,131.812,10485760,55840
2M00023036+8524194,apogee.apo25m.stars.N188-RV.2M00023036+8524194,0.626517,85.405411,13,475.8425,42.22197,0.1344381,apogee.apo25m.dr17.7950.58085.224,31.59019,0.1046918,115.999,10485760,58085
2M00023036+8524194,apogee.apo25m.stars.N188.2M00023036+8524194,0.626517,85.405411,15,511.5603,53.33531,0.1302661,apogee.apo25m.dr17.5095.55840.230,66.5254,0.0977427,131.812,10485760,55840
2M00023036+8524194,apogee.apo25m.stars.N188.2M00023036+8524194,0.626517,85.405411,15,511.5603,53.33531,0.1302661,apogee.apo25m.dr17.7950.58085.224,31.59019,0.1046918,115.999,10485760,58085
2M00023036+8524194,apogee.apo25m.stars.N188-RV.2M00023036+8524194,0.626517,85.405411,13,475.8425,42.22197,0.1344381,apogee.apo25m.dr17.7950.58384.224,30.14544,0.109672,110.302,10485760,58384
2M00023036+8524194,apogee.apo25m.stars.N188.2M00023036+8524194,0.626517,85.405411,15,511.5603,53.33531,0.1302661,apogee.apo25m.dr17.7950.58384.224,30.14544,0.109672,110.302,10485760,58384
2M00023036+8524194,apogee.apo25m.stars.N188-RV.2M00023036+8524194,0.626517,85.405411,13,475.8425,42.22197,0.1344381,apogee.apo25m.dr17.7950.58731.227,35.34781,0.1415656,86.7407,10485764,58731
2M00023036+8524194,apogee.apo25m.stars.N188.2M00023036+8524194,0.626517,85.405411,15,511.5603,53.33531,0.1302661,apogee.apo25m.dr17.7950.58731.227,35.34781,0.1415656,86.7407,10485764,58731
2M00023939+7109185,apogee.apo25m.stars.120+08.2M00023939+7109185,0.664125,71.155151,9,483.5033,12.1446,0.6733692,apogee.apo25m.dr17.6232.56224.215,-4.017048,1.042717,73.9374,1179648,56224
2M00023939+7109185,apogee.apo25m.stars.120+08.2M00023939+7109185,0.664125,71.155151,9,483.5033,12.1446,0.6733692,apogee.apo25m.dr17.5266.56173.226,4.400751,0.639561,121.181,1179648,56173
2M00023939+7109185,apogee.apo25m.stars.120+08.2M00023939+7109185,0.664125,71.155151,9,483.5033,12.1446,0.6733692,apogee.apo25m.dr17.6232.56257.215,-10.52728,0.6046922,127.634,1179648,56257
2M00023939+7109185,apogee.apo25m.stars.120+08.2M00023939+7109185,0.664125,71.155151,9,483.5033,12.1446,0.6733692,apogee.apo25m.dr17.5267.55850.238,0.5776308,0.6634349,115.315,1179648,55850
2M00023939+7109185,apogee.apo25m.stars.120+08.2M00023939+7109185,0.664125,71.155151,9,483.5033,12.1446,0.6733692,apogee.apo25m.dr17.5266.55851.273,-28.36559,0.6265071,117.628,1179648,55851
2M00023939+7109185,apogee.apo25m.stars.120+08.2M00023939+7109185,0.664125,71.155151,9,483.5033,12.1446,0.6733692,apogee.apo25m.dr17.5267.56204.184,-13.09135,0.6668398,118.211,1179648,56204
2M00023939+7109185,apogee.apo25m.stars.120+08.2M00023939+7109185,0.664125,71.155151,9,483.5033,12.1446,0.6733692,apogee.apo25m.dr17.6233.56258.225,-8.525814,0.6557207,117.149,1179648,56258
